id,issue_type,latitude,longitude,ward,date,severity,status,resolution_days,rainfall_mm,traffic_density,population_density,affected_population,trust_score,priority_score,verification_count,economic_impact_inr
ISS-01440,flooding,12.880937,77.60914,Bannerghatta,2023-01-26,low,in_progress,,0,36.9,7000,345,72,37,21,11118
ISS-01441,flooding,12.972701,77.530666,Vijayanagar,2023-11-25,medium,verified,,53.3,100,18000,425,88,47,2,20608
ISS-01442,flooding,12.902765,77.644315,HSR Layout,2024-02-10,low,resolved,120,0,86.4,14000,109,62,93,3,2208
ISS-01443,streetlight,12.982303,77.512555,Vijayanagar,2025-01-24,medium,verified,,0,100,18000,555,50,91,30,12013
ISS-01444,water_leakage,12.938953,77.638016,Koramangala,2023-09-06,medium,in_progress,,0,100,18000,523,50,90,8,29469
ISS-01445,flooding,12.98053,77.654974,Indiranagar,2023-10-31,medium,verified,,0,94.5,15000,93,77,86,24,2910
ISS-01446,flooding,12.888409,77.582587,JP Nagar,2023-07-06,high,in_progress,,77.8,87.9,16000,220,60,44,14,3256
ISS-01447,water_leakage,12.98545,77.654575,Indiranagar,2025-04-08,low,resolved,77,0,79.6,15000,264,54,83,24,6362
ISS-01448,streetlight,12.955951,77.704288,Marathahalli,2024-11-26,low,resolved,49,0,88.7,16000,275,63,40,13,4817
ISS-01449,construction_hazard,12.9737,77.556041,Rajajinagar,2024-09-23,medium,in_progress,,36.4,100,19000,103,81,39,26,2526
ISS-01450,open_manhole,12.90283,77.597351,JP Nagar,2023-11-28,low,reported,,0,71.6,16000,574,49,87,27,7488
ISS-01451,construction_hazard,12.907068,77.610112,Bannerghatta,2023-02-09,low,in_progress,,0,46.3,7000,241,91,85,22,2566
ISS-01452,flooding,12.960854,77.732597,Whitefield,2024-08-31,medium,in_progress,,41.8,65.2,12000,264,89,22,14,11803
ISS-01453,flooding,12.923058,77.642561,HSR Layout,2025-02-28,critical,reported,,0,60.1,14000,1389,82,62,16,24605
ISS-01454,pothole,13.009067,77.584673,Malleswaram,2024-12-14,low,verified,,0,100,22000,721,61,54,0,19620
ISS-01455,flooding,12.983207,77.653999,Indiranagar,2023-09-17,high,reported,,58.8,86.9,15000,636,54,72,0,34889
ISS-01456,pothole,12.941628,77.610262,Koramangala,2025-05-17,high,in_progress,,0,85.6,18000,589,69,87,19,15311
ISS-01457,pothole,12.823644,77.666383,Electronic City,2023-09-02,medium,reported,,78.9,46.1,9000,193,92,21,2,3738
ISS-01458,road_damage,12.893355,77.593883,Bannerghatta,2024-06-27,medium,reported,,78.3,40.8,7000,157,71,88,3,3925
ISS-01459,road_damage,12.824119,77.684114,Electronic City,2023-01-22,medium,verified,,0,45.9,9000,362,48,94,9,6383
ISS-01460,construction_hazard,12.908489,77.57838,JP Nagar,2024-12-03,medium,verified,,0,74.0,16000,159,66,82,12,4843
ISS-01461,flooding,12.97974,77.752602,Whitefield,2024-03-23,low,resolved,50,0,74.0,12000,171,86,36,18,7689
ISS-01462,pothole,12.997876,77.580306,Malleswaram,2024-09-02,high,reported,,0,100,22000,772,40,66,8,22072
ISS-01463,water_leakage,12.954478,77.766141,Whitefield,2024-10-02,low,reported,,0,67.7,12000,510,94,99,1,26889
ISS-01464,streetlight,12.890649,77.664899,HSR Layout,2024-07-04,medium,in_progress,,0,65.8,14000,206,85,54,3,7268
ISS-01465,streetlight,12.897292,77.600086,Bannerghatta,2025-02-14,medium,verified,,0,37.2,7000,115,54,48,26,3826
ISS-01466,road_damage,12.897379,77.58624,Bannerghatta,2024-07-04,high,in_progress,,17.3,40.1,7000,138,50,20,29,1840
ISS-01467,road_damage,12.954562,77.54687,Vijayanagar,2023-12-02,medium,verified,,0,89.7,18000,720,86,22,14,20802
ISS-01468,road_damage,12.941913,77.592074,Jayanagar,2023-11-21,low,resolved,31,68.9,97.6,20000,579,41,30,7,25248
ISS-01469,garbage,12.958793,77.710844,Marathahalli,2023-11-25,medium,resolved,53,0,81.3,16000,399,79,49,4,11355
ISS-01470,streetlight,12.913999,77.601288,BTM Layout,2025-02-07,high,reported,,0,96.4,17000,914,69,86,26,41528
ISS-01471,pothole,12.894272,77.609129,Bannerghatta,2025-03-30,critical,resolved,6,0,36.8,7000,246,93,52,5,4867
ISS-01472,road_damage,12.830856,77.671236,Electronic City,2024-04-17,medium,in_progress,,0,37.1,9000,340,73,98,4,10534
ISS-01473,road_damage,12.95583,77.515,Vijayanagar,2024-08-10,high,reported,,0,84.4,18000,534,54,76,8,19119
ISS-01474,water_leakage,13.094967,77.599318,Yelahanka,2023-06-01,medium,in_progress,,43.3,57.5,8000,120,71,75,4,3835
ISS-01475,water_leakage,12.981844,77.575698,Rajajinagar,2023-11-15,medium,verified,,60.8,100,19000,183,70,42,0,10077
ISS-01476,flooding,12.994003,77.557023,Malleswaram,2025-05-10,high,reported,,0,100,22000,919,73,36,1,47765
ISS-01477,road_damage,12.949588,77.621326,Koramangala,2024-09-04,low,verified,,0,93.4,18000,692,57,88,24,22827
ISS-01478,flooding,12.922668,77.640156,HSR Layout,2024-09-26,medium,in_progress,,0,82.3,14000,345,81,60,5,10353
ISS-01479,flooding,12.904046,77.604798,Bannerghatta,2023-08-02,high,verified,,15.6,42.8,7000,462,48,100,6,12490
ISS-01480,streetlight,13.000842,77.568396,Rajajinagar,2024-03-15,medium,reported,,0,100,19000,318,90,54,0,14246
ISS-01481,garbage,13.002712,77.553532,Malleswaram,2023-02-23,high,reported,,0,100,22000,1394,91,83,2,78674
ISS-01482,flooding,13.034202,77.610131,Hebbal,2024-09-10,low,in_progress,,0,49.6,11000,175,44,89,5,5377
ISS-01483,streetlight,12.949769,77.618489,Koramangala,2024-12-09,high,resolved,17,0,99.8,18000,1080,60,78,2,52022
ISS-01484,construction_hazard,12.909419,77.65148,HSR Layout,2025-04-03,low,reported,,0,61.5,14000,192,42,74,20,4303
ISS-01485,water_leakage,13.102583,77.60183,Yelahanka,2023-03-03,high,in_progress,,0,38.2,8000,442,62,58,23,17274
ISS-01486,open_manhole,12.891104,77.585507,Bannerghatta,2023-12-19,low,resolved,15,0,25.7,7000,76,62,40,17,3238
ISS-01487,open_manhole,12.897844,77.665124,HSR Layout,2024-11-06,low,in_progress,,0,85.5,14000,540,60,29,7,14859
ISS-01488,flooding,12.909671,77.586799,JP Nagar,2024-04-18,medium,resolved,28,0,87.7,16000,598,66,60,20,30011
ISS-01489,water_leakage,12.905567,77.603678,Bannerghatta,2024-10-12,medium,reported,,0,46.0,7000,295,80,66,17,17453
ISS-01490,road_damage,13.016936,77.583455,Hebbal,2024-01-31,low,in_progress,,0,59.3,11000,380,67,86,29,15971
ISS-01491,construction_hazard,12.907166,77.604361,Bannerghatta,2024-06-01,medium,in_progress,,0,43.3,7000,204,74,84,21,8094
ISS-01492,streetlight,12.92061,77.58054,JP Nagar,2025-03-14,low,in_progress,,0,91.7,16000,604,61,53,10,29409
ISS-01493,flooding,12.87147,77.59034,Bannerghatta,2024-08-25,high,verified,,0,31.5,7000,100,61,47,1,2327
ISS-01494,road_damage,12.958631,77.527399,Vijayanagar,2024-12-03,low,resolved,79,0,85.9,18000,501,85,80,26,18357
ISS-01495,garbage,12.974968,77.690342,Marathahalli,2024-05-13,low,resolved,77,0,82.5,16000,566,82,86,2,26932
ISS-01496,flooding,12.919975,77.592759,JP Nagar,2023-03-12,medium,reported,,0,87.3,16000,402,72,67,14,14044
ISS-01497,pothole,12.989789,77.577231,Malleswaram,2024-09-01,high,in_progress,,0,100,22000,1523,90,84,9,38234
ISS-01498,water_leakage,12.979487,77.660665,Indiranagar,2023-03-07,medium,verified,,0,87.2,15000,417,61,45,2,13002
ISS-01499,garbage,13.008588,77.561724,Rajajinagar,2024-12-24,medium,reported,,0,93.9,19000,476,66,82,23,24851
ISS-01500,garbage,12.985666,77.652295,Indiranagar,2025-05-21,medium,reported,,0,76.7,15000,83,69,54,3,2549
ISS-01501,streetlight,13.102072,77.590069,Yelahanka,2023-12-29,medium,in_progress,,0,42.1,8000,180,82,23,16,6237
ISS-01502,garbage,12.952585,77.769253,Whitefield,2024-05-26,high,verified,,0,56.2,12000,255,90,84,11,8141
ISS-01503,pothole,13.081161,77.584883,Yelahanka,2024-12-30,medium,in_progress,,0,50.2,8000,135,49,85,26,4712
ISS-01504,open_manhole,12.893713,77.598867,JP Nagar,2023-05-30,low,resolved,63,0,88.3,16000,310,60,83,13,6508
ISS-01505,water_leakage,12.854521,77.677775,Electronic City,2024-01-13,critical,verified,,0,54.0,9000,209,44,23,23,7819
ISS-01506,flooding,12.991222,77.553027,Rajajinagar,2025-02-17,medium,reported,,0,95.4,19000,575,40,35,5,12704
ISS-01507,streetlight,12.977297,77.62363,Indiranagar,2024-04-11,low,resolved,35,0,91.7,15000,262,72,85,2,14904
ISS-01508,flooding,12.833178,77.678381,Electronic City,2023-10-20,low,resolved,105,0,57.1,9000,73,50,66,28,2101
ISS-01509,flooding,12.900274,77.589666,JP Nagar,2024-08-22,low,reported,,37.1,82.2,16000,747,67,38,8,8868
ISS-01510,garbage,12.973973,77.732069,Whitefield,2025-04-16,high,in_progress,,0,70.1,12000,718,79,58,13,32170
ISS-01511,garbage,12.898102,77.614264,Bannerghatta,2023-01-03,medium,verified,,0,25.6,7000,71,84,25,27,815
ISS-01512,pothole,12.916171,77.591136,Jayanagar,2024-08-03,critical,reported,,0,90.3,20000,420,57,29,22,15188
ISS-01513,open_manhole,12.983146,77.525744,Vijayanagar,2023-06-07,high,resolved,8,61.1,95.3,18000,1100,62,80,22,17880
ISS-01514,pothole,12.987538,77.586461,Malleswaram,2024-11-23,medium,verified,,0,100,22000,430,89,87,22,5934
ISS-01515,construction_hazard,12.908495,77.62632,BTM Layout,2025-03-10,medium,resolved,55,0,89.9,17000,539,92,63,17,16933
ISS-01516,flooding,12.889573,77.588743,JP Nagar,2023-09-20,medium,reported,,76.6,93.8,16000,576,83,52,8,33398
ISS-01517,garbage,12.849597,77.659451,Electronic City,2023-11-26,high,verified,,41.7,61.4,9000,263,62,82,28,6807
ISS-01518,garbage,12.895398,77.580846,Bannerghatta,2025-01-28,low,resolved,38,0,54.8,7000,275,69,60,18,10402
ISS-01519,construction_hazard,12.923099,77.640484,HSR Layout,2025-04-26,medium,reported,,0,61.8,14000,268,64,96,16,2939
ISS-01520,garbage,12.932829,77.608725,BTM Layout,2024-12-18,medium,verified,,0,87.1,17000,431,52,87,22,15436
ISS-01521,road_damage,12.904315,77.591946,JP Nagar,2023-06-08,medium,resolved,39,0,91.6,16000,463,81,58,8,22444
ISS-01522,road_damage,12.956776,77.709974,Marathahalli,2024-05-07,critical,in_progress,,0,99.7,16000,569,86,75,27,22242
ISS-01523,garbage,12.928834,77.623743,Koramangala,2024-08-16,low,in_progress,,0,100,18000,681,50,32,24,14212
ISS-01524,garbage,12.949984,77.750586,Whitefield,2023-08-12,medium,resolved,13,0,67.6,12000,350,70,71,1,7973
ISS-01525,flooding,12.890043,77.601006,JP Nagar,2025-03-03,medium,verified,,0,73.1,16000,447,56,35,11,11806
ISS-01526,garbage,12.98941,77.539784,Rajajinagar,2023-12-23,low,in_progress,,0,100,19000,916,73,21,4,49395
ISS-01527,garbage,12.95843,77.765513,Whitefield,2024-12-25,medium,reported,,0,72.3,12000,516,74,89,11,27003
ISS-01528,construction_hazard,12.917737,77.5795,JP Nagar,2024-03-02,medium,in_progress,,0,84.0,16000,120,68,53,26,4428
ISS-01529,streetlight,12.842725,77.669157,Electronic City,2023-08-12,medium,in_progress,,78.9,45.3,9000,140,42,27,8,7810
ISS-01530,water_leakage,12.977344,77.523436,Vijayanagar,2023-05-27,high,reported,,0,90.8,18000,883,51,43,29,42282
ISS-01531,open_manhole,12.998098,77.624247,Indiranagar,2024-02-05,low,verified,,0,69.1,15000,205,48,36,6,5221
ISS-01532,pothole,12.967003,77.703309,Marathahalli,2023-09-16,high,reported,,65.8,71.2,16000,1064,72,51,2,49410
ISS-01533,pothole,12.959351,77.707795,Marathahalli,2024-03-15,low,reported,,0,81.3,16000,123,72,89,29,5676
ISS-01534,open_manhole,13.004845,77.553062,Malleswaram,2023-03-27,medium,verified,,0,100,22000,118,46,50,19,4009
ISS-01535,open_manhole,13.088019,77.605709,Yelahanka,2025-05-18,medium,verified,,0,46.4,8000,90,70,49,4,4445
ISS-01536,open_manhole,12.978092,77.627483,Indiranagar,2024-11-28,critical,resolved,7,32.4,80.2,15000,334,78,34,17,11275
ISS-01537,pothole,13.114076,77.579543,Yelahanka,2023-06-06,high,resolved,14,33.6,44.2,8000,425,58,81,6,18048
ISS-01538,streetlight,12.969477,77.734073,Whitefield,2024-03-02,high,resolved,14,0,57.4,12000,640,80,46,12,37761
ISS-01539,garbage,12.878584,77.605066,Bannerghatta,2025-02-16,medium,verified,,0,45.7,7000,110,63,41,23,5294
ISS-01540,streetlight,13.120327,77.600308,Yelahanka,2024-06-16,medium,verified,,0,49.1,8000,40,54,41,14,1604
ISS-01541,road_damage,13.114823,77.59246,Yelahanka,2023-08-28,medium,in_progress,,67.1,41.8,8000,160,69,27,4,7171
ISS-01542,open_manhole,12.991292,77.56885,Malleswaram,2025-03-15,medium,reported,,0,100,22000,820,56,61,28,34131
ISS-01543,flooding,13.026792,77.591473,Hebbal,2025-05-04,medium,verified,,0,50.8,11000,277,84,38,2,15346
ISS-01544,flooding,12.932119,77.575409,Jayanagar,2024-03-08,low,reported,,0,100,20000,198,68,74,28,3490
ISS-01545,pothole,12.994396,77.631875,Indiranagar,2025-04-09,high,reported,,0,87.3,15000,1016,73,24,25,11557
ISS-01546,open_manhole,12.98416,77.590228,Malleswaram,2023-02-23,medium,resolved,50,0,100,22000,699,53,88,17,14316
ISS-01547,pothole,12.959006,77.528876,Vijayanagar,2024-08-20,low,reported,,0,83.3,18000,253,92,52,4,10712
ISS-01548,garbage,12.930043,77.573426,Jayanagar,2024-02-01,low,reported,,0,100,20000,316,68,62,12,18128
ISS-01549,flooding,13.117666,77.578016,Yelahanka,2024-10-12,medium,resolved,16,61.3,44.6,8000,314,94,46,15,4927
ISS-01550,water_leakage,13.022898,77.573165,Malleswaram,2024-08-20,high,verified,,69.3,100,22000,813,61,36,4,12611
ISS-01551,road_damage,12.95958,77.659946,Indiranagar,2023-10-10,low,in_progress,,0,75.7,15000,395,49,60,4,5243
ISS-01552,construction_hazard,12.883632,77.599408,Bannerghatta,2023-06-13,medium,resolved,37,53.2,49.6,7000,346,82,38,14,11919
ISS-01553,garbage,12.882078,77.585903,Bannerghatta,2024-05-15,low,verified,,0,48.6,7000,104,59,67,23,5765
ISS-01554,open_manhole,12.92113,77.574133,JP Nagar,2024-05-21,critical,reported,,0,96.4,16000,842,88,23,16,9700
ISS-01555,garbage,12.950305,77.615693,Koramangala,2024-10-10,medium,in_progress,,18.2,100,18000,286,80,55,14,11632
ISS-01556,open_manhole,12.874186,77.613315,Bannerghatta,2024-04-16,low,resolved,29,0,36.2,7000,153,51,48,4,5397
ISS-01557,construction_hazard,12.976593,77.639821,Indiranagar,2023-08-13,medium,reported,,15.5,72.8,15000,251,90,21,30,4962
ISS-01558,water_leakage,12.942396,77.632846,Koramangala,2025-04-01,low,reported,,0,88.2,18000,329,44,60,1,19197
ISS-01559,flooding,13.002068,77.554169,Malleswaram,2024-11-02,low,verified,,26.8,100,22000,492,86,89,8,13134
ISS-01560,pothole,12.956167,77.677565,Marathahalli,2024-10-18,medium,in_progress,,0,75.7,16000,738,72,61,6,17534
ISS-01561,garbage,12.924248,77.617743,Koramangala,2025-03-01,medium,reported,,0,100,18000,463,91,77,24,18201
ISS-01562,road_damage,12.87995,77.603877,Bannerghatta,2025-02-09,high,in_progress,,0,30.6,7000,416,94,73,24,4463
ISS-01563,flooding,12.896733,77.597256,BTM Layout,2024-04-26,low,reported,,0,86.0,17000,344,79,55,1,18143
ISS-01564,pothole,12.970368,77.533701,Vijayanagar,2024-06-05,medium,in_progress,,42.7,80.9,18000,497,59,74,14,13032
ISS-01565,garbage,12.951293,77.754521,Whitefield,2023-05-16,high,verified,,0,60.6,12000,192,76,63,27,2572
ISS-01566,flooding,13.112968,77.607916,Yelahanka,2024-11-04,low,verified,,0,41.7,8000,334,66,32,21,15398
ISS-01567,road_damage,12.886593,77.596202,Bannerghatta,2024-03-30,low,verified,,0,41.7,7000,303,64,45,12,18075
ISS-01568,road_damage,13.016834,77.579106,Hebbal,2023-02-09,medium,reported,,0,53.5,11000,143,76,60,26,7914
ISS-01569,flooding,12.922956,77.575271,JP Nagar,2023-05-24,medium,verified,,0,74.0,16000,138,80,39,22,6935
ISS-01570,road_damage,12.950495,77.747984,Whitefield,2025-05-20,low,reported,,0,57.3,12000,197,70,84,27,4527
ISS-01571,flooding,12.890481,77.585281,JP Nagar,2023-09-05,low,reported,,49.1,81.0,16000,615,58,62,6,28609
ISS-01572,road_damage,12.915116,77.585497,Jayanagar,2024-06-17,high,resolved,11,73.6,100,20000,806,89,87,1,39887
ISS-01573,garbage,12.977298,77.759659,Whitefield,2023-02-26,high,reported,,0,64.9,12000,736,74,20,8,29103
ISS-01574,road_damage,13.026659,77.592487,Hebbal,2025-03-20,low,resolved,118,0,60.1,11000,517,74,55,7,12675
ISS-01575,garbage,12.827647,77.666122,Electronic City,2025-01-02,medium,reported,,0,43.2,9000,309,89,30,22,17613
ISS-01576,flooding,12.960043,77.622977,Indiranagar,2025-06-01,medium,resolved,45,0,66.1,15000,682,56,71,15,16896
ISS-01577,garbage,12.984312,77.647336,Indiranagar,2023-04-27,high,verified,,0,69.1,15000,274,40,87,17,7321
ISS-01578,garbage,12.921043,77.598564,BTM Layout,2024-08-15,low,in_progress,,61.9,75.5,17000,729,86,92,15,22555
ISS-01579,road_damage,12.886216,77.584644,Bannerghatta,2024-07-21,critical,in_progress,,0,42.6,7000,548,59,87,21,29363
ISS-01580,water_leakage,12.909607,77.597851,BTM Layout,2024-01-21,medium,in_progress,,0,76.3,17000,164,83,73,0,4830
ISS-01581,road_damage,12.859477,77.661978,Electronic City,2024-08-04,critical,resolved,3,0,61.6,9000,264,84,58,15,4622
ISS-01582,flooding,13.044019,77.579166,Hebbal,2024-02-03,high,reported,,0,70.1,11000,693,57,63,23,27755
ISS-01583,road_damage,12.926161,77.60824,BTM Layout,2023-08-31,medium,reported,,0,100,17000,355,42,39,29,19435
ISS-01584,pothole,12.918213,77.596715,Jayanagar,2025-05-26,low,resolved,118,0,100,20000,479,75,46,3,13432
ISS-01585,garbage,12.958302,77.682158,Marathahalli,2024-03-06,medium,in_progress,,0,99.3,16000,80,72,78,2,4058
ISS-01586,open_manhole,12.975354,77.542717,Rajajinagar,2025-05-23,high,reported,,0,98.7,19000,182,46,49,2,8033
ISS-01587,construction_hazard,12.965676,77.70978,Marathahalli,2024-11-01,medium,reported,,73.8,93.9,16000,251,65,24,24,3612
ISS-01588,pothole,12.952361,77.764027,Whitefield,2023-06-06,medium,verified,,62.5,64.8,12000,280,44,67,18,16412
ISS-01589,pothole,12.911181,77.595525,Jayanagar,2025-04-02,low,verified,,0,100,20000,199,43,77,15,4284
ISS-01590,flooding,12.920402,77.596986,Jayanagar,2025-04-18,medium,in_progress,,0,100,20000,725,68,82,8,11751
ISS-01591,open_manhole,12.893466,77.602121,Bannerghatta,2023-08-23,high,verified,,0,52.8,7000,340,44,51,21,14668
ISS-01592,road_damage,12.968183,77.717265,Marathahalli,2023-11-12,high,in_progress,,42.1,86.9,16000,1159,51,79,5,33406
ISS-01593,construction_hazard,12.890635,77.607941,Bannerghatta,2025-01-04,low,in_progress,,0,45.2,7000,334,61,60,18,8710
ISS-01594,pothole,13.04861,77.579176,Hebbal,2024-01-25,high,verified,,0,64.9,11000,581,67,55,8,10592
ISS-01595,open_manhole,12.918183,77.627245,BTM Layout,2023-07-26,low,resolved,16,75.3,100,17000,668,79,64,4,26415
ISS-01596,garbage,12.991806,77.536975,Vijayanagar,2024-02-08,medium,reported,,0,93.4,18000,340,87,60,12,13270
ISS-01597,open_manhole,12.966029,77.704851,Marathahalli,2023-05-10,critical,in_progress,,0,81.6,16000,1439,54,62,29,69560
ISS-01598,pothole,13.105153,77.584328,Yelahanka,2023-09-25,medium,reported,,65.4,47.1,8000,361,86,48,1,5401
ISS-01599,pothole,12.976757,77.622006,Indiranagar,2025-01-28,critical,resolved,2,0,71.8,15000,363,53,95,23,18559
ISS-01600,water_leakage,12.872695,77.603968,Bannerghatta,2023-04-13,low,in_progress,,0,40.2,7000,283,83,35,30,9129
ISS-01601,garbage,12.940627,77.569069,Jayanagar,2023-03-24,medium,verified,,0,100,20000,188,93,86,8,8430
ISS-01602,open_manhole,12.965201,77.538398,Vijayanagar,2023-04-01,medium,in_progress,,0,100,18000,811,57,33,9,43557
ISS-01603,open_manhole,12.951095,77.741307,Whitefield,2023-07-13,high,verified,,69.2,68.5,12000,93,78,65,5,4796
ISS-01604,open_manhole,12.945211,77.710615,Marathahalli,2023-07-02,medium,resolved,33,0,86.3,16000,165,88,40,25,4044
ISS-01605,open_manhole,12.962437,77.763031,Whitefield,2024-01-03,low,verified,,0,54.9,12000,280,41,81,15,13942
ISS-01606,open_manhole,12.890423,77.576876,JP Nagar,2023-04-04,low,verified,,0,86.6,16000,680,73,62,16,38780
ISS-01607,open_manhole,12.912716,77.59802,Jayanagar,2024-09-08,medium,in_progress,,70.9,100,20000,490,76,76,20,8471
ISS-01608,flooding,12.977167,77.531085,Vijayanagar,2025-05-12,medium,reported,,0,85.5,18000,783,55,82,21,27039
ISS-01609,flooding,13.092107,77.598431,Yelahanka,2025-05-14,critical,resolved,4,0,30.8,8000,394,83,86,20,5892
ISS-01610,pothole,12.982537,77.649677,Indiranagar,2023-12-29,medium,reported,,0,91.7,15000,577,58,28,6,32392
ISS-01611,garbage,13.051977,77.581172,Hebbal,2024-05-19,medium,reported,,0,58.8,11000,235,46,83,24,12097
ISS-01612,streetlight,13.015226,77.574422,Malleswaram,2024-11-07,medium,in_progress,,18.1,100,22000,680,57,86,1,37153
ISS-01613,flooding,12.871931,77.608697,Bannerghatta,2023-06-22,critical,reported,,29.0,31.5,7000,395,64,35,24,7328
ISS-01614,open_manhole,12.885981,77.614108,Bannerghatta,2023-01-28,high,reported,,0,41.9,7000,200,77,93,21,9687
ISS-01615,open_manhole,12.91645,77.584995,JP Nagar,2025-02-26,high,resolved,7,0,99.9,16000,1065,58,74,13,33412
ISS-01616,construction_hazard,12.990439,77.546417,Vijayanagar,2024-08-02,low,reported,,37.0,100,18000,183,58,83,19,10454
ISS-01617,road_damage,12.893258,77.659555,HSR Layout,2025-05-26,high,verified,,0,70.5,14000,1031,53,29,29,56416
ISS-01618,open_manhole,13.113954,77.581595,Yelahanka,2025-05-23,critical,in_progress,,0,31.6,8000,618,57,38,3,20285
ISS-01619,water_leakage,13.109412,77.587714,Yelahanka,2024-07-21,low,in_progress,,42.8,36.9,8000,158,81,52,9,4502
ISS-01620,construction_hazard,12.95624,77.549045,Vijayanagar,2023-08-29,low,verified,,64.2,89.3,18000,707,91,23,17,29063
ISS-01621,pothole,13.10782,77.596405,Yelahanka,2023-05-14,high,resolved,15,0,45.2,8000,252,89,28,18,11346
ISS-01622,road_damage,12.940565,77.678719,Marathahalli,2023-03-31,medium,verified,,0,86.0,16000,322,80,79,22,11999
ISS-01623,garbage,12.91993,77.569831,JP Nagar,2025-05-16,medium,resolved,8,0,71.7,16000,342,67,44,30,11383
ISS-01624,pothole,13.001986,77.558605,Rajajinagar,2023-05-14,low,reported,,0,100,19000,946,77,78,5,38909
ISS-01625,open_manhole,13.039334,77.608812,Hebbal,2023-03-23,medium,resolved,25,0,61.1,11000,319,88,80,6,8369
ISS-01626,road_damage,12.983177,77.760969,Whitefield,2024-07-22,medium,reported,,65.3,58.7,12000,127,66,27,0,1311
ISS-01627,construction_hazard,12.994694,77.558039,Malleswaram,2024-07-14,medium,in_progress,,0,100,22000,756,74,95,1,31675
ISS-01628,flooding,12.949538,77.593462,Jayanagar,2024-09-10,low,in_progress,,60.5,100,20000,907,84,26,24,52669
ISS-01629,water_leakage,12.964855,77.755181,Whitefield,2023-02-13,low,in_progress,,0,67.4,12000,172,51,94,29,8698
ISS-01630,road_damage,12.976523,77.734187,Whitefield,2024-08-18,high,in_progress,,0,70.0,12000,210,46,21,16,11440
ISS-01631,road_damage,12.954177,77.624933,Koramangala,2023-03-31,critical,reported,,0,87.5,18000,1209,42,66,30,42437
ISS-01632,open_manhole,12.963022,77.754278,Whitefield,2025-03-10,high,verified,,0,55.7,12000,856,92,51,7,49624
ISS-01633,road_damage,12.961348,77.765985,Whitefield,2023-02-24,low,resolved,102,0,72.1,12000,62,81,48,2,2176
ISS-01634,garbage,12.891594,77.607288,Bannerghatta,2023-06-20,high,resolved,10,0,29.6,7000,344,77,67,12,12813
ISS-01635,water_leakage,13.013876,77.589824,Malleswaram,2024-06-22,medium,reported,,0,100,22000,756,53,100,12,37431
ISS-01636,flooding,12.898294,77.616243,BTM Layout,2023-03-12,critical,resolved,7,0,82.1,17000,1473,50,75,22,67426
ISS-01637,construction_hazard,12.895538,77.567512,JP Nagar,2024-03-08,critical,reported,,0,71.2,16000,1389,48,53,7,35621
ISS-01638,flooding,12.909623,77.612135,Bannerghatta,2025-04-16,medium,reported,,0,40.3,7000,198,52,99,16,11875
ISS-01639,water_leakage,12.984291,77.650173,Indiranagar,2025-04-22,low,reported,,0,79.8,15000,326,52,67,22,6709
ISS-01640,flooding,12.952676,77.529942,Vijayanagar,2023-08-13,low,resolved,118,76.3,80.9,18000,269,94,95,23,3603
ISS-01641,open_manhole,12.920923,77.616168,Koramangala,2024-01-27,low,reported,,0,86.5,18000,844,66,42,7,46163
ISS-01642,construction_hazard,12.84805,77.678511,Electronic City,2023-02-13,critical,in_progress,,0,41.6,9000,282,55,82,26,10963
ISS-01643,road_damage,12.997812,77.579513,Malleswaram,2023-04-26,high,reported,,0,100,22000,1374,52,58,28,76728
ISS-01644,water_leakage,12.978925,77.744235,Whitefield,2024-07-29,medium,reported,,0,53.9,12000,327,81,89,4,7144
ISS-01645,open_manhole,13.019681,77.556765,Malleswaram,2025-03-30,medium,verified,,0,100,22000,747,80,51,13,25053
ISS-01646,garbage,12.976326,77.552253,Rajajinagar,2023-03-21,medium,reported,,0,88.7,19000,676,59,38,25,16268
ISS-01647,water_leakage,12.990666,77.563796,Rajajinagar,2024-03-08,medium,verified,,0,100,19000,673,61,20,26,39202
ISS-01648,flooding,13.10604,77.591785,Yelahanka,2025-05-09,critical,reported,,0,51.4,8000,679,46,28,25,38935
ISS-01649,water_leakage,12.934712,77.629089,Koramangala,2024-12-20,low,in_progress,,0,92.0,18000,187,80,94,6,4870
ISS-01650,water_leakage,12.915714,77.633485,Koramangala,2024-02-13,high,resolved,20,0,94.3,18000,439,63,22,30,17297
ISS-01651,road_damage,13.003927,77.581159,Malleswaram,2024-06-24,medium,in_progress,,0,100,22000,679,85,86,13,25853
ISS-01652,streetlight,13.02908,77.589024,Hebbal,2023-12-15,low,reported,,0,71.0,11000,113,86,20,6,1151
ISS-01653,construction_hazard,12.931043,77.615416,Koramangala,2024-12-12,medium,in_progress,,0,100,18000,740,75,67,10,40845
ISS-01654,streetlight,12.931197,77.627554,BTM Layout,2024-07-08,critical,in_progress,,0,79.2,17000,1424,84,83,28,29442
ISS-01655,construction_hazard,12.944113,77.708571,Marathahalli,2025-03-26,high,verified,,0,77.2,16000,1093,89,65,27,47271
ISS-01656,construction_hazard,12.951154,77.764351,Whitefield,2023-12-19,medium,reported,,0,74.6,12000,392,92,58,7,19019
ISS-01657,open_manhole,12.94301,77.620217,Koramangala,2024-11-07,critical,resolved,7,0,86.0,18000,1099,83,51,11,17560
ISS-01658,pothole,12.914355,77.664464,HSR Layout,2024-10-26,high,reported,,49.5,65.4,14000,215,67,56,10,11107
